Plot number,Year,Elev(dem),heatload
A011969,1969,1811,0.91217700000
A021969,1969,1870,0.93267200000
A051969,1969,1382,0.61967100000
A081969,1969,1302,0.72695800000
A101969,1969,1307,0.56171500000
A131969,1969,1566,0.58362600000
A141969,1969,1681,0.69904200000
A171969,1969,2028,0.87310500000
A181969,1969,2200,0.47450200000
A191969,1969,2270,0.55304900000
A211969,1969,2043,0.91882300000
A231969,1969,1547,0.57021100000
A241969,1969,1620,0.60393000000
A251969,1969,1674,0.54751100000
A261969,1969,1774,0.53022200000
A271969,1969,1854,0.50721300000
A281969,1969,1869,0.54137600000
A291969,1969,2003,0.40950800000
A301969,1969,1689,0.631919652
A311969,1969,1502,0.44215600000
A321969,1969,1529,0.54016700000
A331969,1969,1620,0.33383200000
A341969,1969,1765,0.44171700000
A351969,1969,1794,0.64308900000
A361969,1969,1897,0.66159600000
A371969,1969,1875,0.72168600000
A381969,1969,2065,0.90893400000
A391969,1969,2225,0.59921100000
A401969,1969,2274,0.42614700000
A411969,1969,2285,0.91204400000
A471969,1969,1953,0.53851700000
A491969,1969,1882,0.60953000000
A501969,1969,1809,0.87721300000
A511969,1969,1650,0.74578700000
A521969,1969,1589,0.82247900000
A531969,1969,1653,0.87710000000
A541969,1969,1536,0.80916500000
A551969,1969,2038,0.64503400000
A571969,1969,2048,0.55368700000
A591969,1969,2218,0.53430200000
A601969,1969,2227,0.24152600000
A611969,1969,2254,0.77348700000
A621969,1969,2145,0.36989100000
A631969,1969,1972,0.72990500000
A641969,1969,2059,0.71011000000
A651969,1969,2092,0.59638700000
A661969,1969,2155,0.34544900000
A671969,1969,2308,0.48031600000
A691969,1969,2181,0.62654600000
A701969,1969,2034,0.71204400000
A711969,1969,2183,0.80725600000
A721969,1969,2232,0.94743200000
A731969,1969,2277,0.95241600000
A741969,1969,2348,0.92145200000
A751969,1969,2274,0.67458000000
A761969,1969,2220,0.68215700000
A781969,1969,2201,0.68540100000
A791969,1969,2137,0.72554800000
A801969,1969,2141,0.85824100000
A811969,1969,2042,0.77463900000
A821969,1969,1993,0.62316300000
A831969,1969,1989,0.68072800000
A841969,1969,1979,0.64556400000
A851969,1969,1939,0.69691700000
A861969,1969,1916,0.61419600000
A871969,1969,1893,0.62465100000
A881969,1969,1818,0.58391500000
A891969,1969,1846,0.46453800000
A901969,1969,1917,0.59896300000
A911969,1969,1887,0.83392800000
A921969,1969,1847,0.80025800000
A931969,1969,2030,0.75914500000
A941969,1969,2113,0.41731900000
A961969,1969,2291,0.90178000000
A971969,1969,2288,0.95339500000
A981969,1969,2247,0.85933000000
A991969,1969,2208,0.95142800000
B021969,1969,1925,0.68493900000
B031969,1969,2117,0.539163228
B041969,1969,2227,0.981465851
B051969,1969,2331,0.38290300000
B061969,1969,2340,0.54762900000
B071969,1969,2255,0.34962600000
B081969,1969,2205,0.54803500000
B091969,1969,2179,0.48787400000
B101969,1969,2230,0.57360000000
B111969,1969,2310,0.93325300000
B121969,1969,2415,0.94145100000
B141969,1969,2458,0.64943000000
B161969,1969,2341,0.85508500000
B171969,1969,2272,0.79912700000
B191969,1969,2174,0.81661400000
B201969,1969,2135,0.88810600000
B211969,1969,2070,0.50610400000
B221969,1969,2008,0.60583000000
B241969,1969,2010,0.66208200000
B251969,1969,1980,0.74690800000
B261969,1969,1824,0.62274400000
B271969,1969,1844,0.73774100000
B291969,1969,2233,0.72772100000
B301969,1969,2242,0.80725600000
B311969,1969,2248,0.96497700000
B321969,1969,2141,0.50860300000
B331969,1969,2149,0.50597200000
B341969,1969,2202,0.50014400000
B351969,1969,2160,0.81283100000
B361969,1969,2149,0.57853600000
B371969,1969,2105,0.96255400000
B391969,1969,2145,0.874641427
B401969,1969,2036,0.60060700000
B411969,1969,1956,0.42416500000
B421969,1969,1843,0.51054200000
B431969,1969,1867,0.91750000000
B481969,1969,2084,0.75929600000
B491969,1969,2034,0.58975700000
B501969,1969,1721,0.840087829
B521969,1969,1913,0.66469200000
