Plot number,ABCOCAN1969,ABCOSAP1969,ABCOSEED1969,ABLASCAN1969,ABLASSAP1969,ABLASSEED1969,ABMACAN1969,ABMASAP1969,ABMASEED1969,CADECAN1969,CADESAP1969,CADESEED1969,PICBRECAN1969,PICBRESAP1969,PICBRESEED1969,PICENGCAN1969,PICENGSAP1969,PICENGSEED1969,PINCONCAN1969,PINCONSAP1969,PINCONSEED1969,PINLAMCAN1969,PINLAMSAP1969,PINLAMSEED1969,PINMONCAN1969,PINMONSAP1969,PINMONSEED1969,PINPONCAN1969,PINPONSAP1969,PINPONSEED1969,PSMECAN1969,PSMESAP1969,PSMESEED1969,TSMERCAN1969,TSMERSAP1969,TSMERSEED1969
A011969,7,7,0,0,0,0,7,3,3,0,0,0,0,1,0,7,7,0,7,3,0,0,0,0,17.5,3,0,0,0,0,1,0,0,7,7,0
A021969,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
A051969,37.5,7,7,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,7,0,0,0
A081969,62.5,37.5,7,0,0,0,0,0,0,0,37.5,7,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,7,1,0,17.5,37.5,1,0,0,0
A101969,17.5,7,1,0,0,0,0,0,0,17.5,0,0,0,0,0,1,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,17.5,3,0,0,0,0
A131969,17.5,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,17.5,0,3,0,0,0,7,7,3,7,7,3,0,0,0
A141969,17.5,17.5,7,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,7,0,3,7,17.5,7,0,0,0
A171969,7,17.5,7,0,0,0,37.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,7,7,0,7,0,0,0,3,0
A181969,0,0,0,0,0,0,37.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,37.5,7,7
A191969,0,0,0,0,0,0,7,7,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,0,1,0,7,7,7
A211969,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
A231969,7,17.5,7,0,0,0,3,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,17.5,0,0,0,0,0,0,3,0,7,7,1,0,0,0
