Sequence,Year,Elevation2015m,Estim,HighBand,LowBand
5,1969,1302,31.2797718,55.56101608,17.52517891
4,1969,1307,31.08275986,54.943367,17.52131271
144,1969,1326,30.24003029,52.28908157,17.60166931
3,1969,1382,26.85868454,42.22644424,19.46738815
20,1969,1502,18.37542152,25.41084671,12.55182934
37,1969,1529,16.96644974,23.32854843,12.42989063
12,1969,1536,16.63870049,22.52991104,12.0278244
21,1969,1547,16.15240479,22.22727776,11.88101196
6,1969,1566,15.3886776,21.28131866,11.05403137
35,1969,1589,14.57834816,20.80831146,10.5925684
22,1969,1620,13.65315437,19.53923988,8.220633507
13,1969,1620,13.65315437,19.53923988,8.220633507
36,1969,1650,12.90680313,18.56129646,7.197697163
14,1969,1653,12.83884525,18.09104538,7.221747398
34,1969,1674,12.39040375,17.30289459,7.706392288
7,1969,1681,12.24983025,16.94012642,7.474260807
19,1969,1689,12.09333515,16.483284,7.483400822
132,1969,1693,12.01646996,16.24463463,7.497037888
145,1969,1721,11.49247551,14.71208,7.413095951
133,1969,1724,11.43672085,14.6369133,7.387525558
116,1969,1762,10.70402336,15.25709057,7.876255512
137,1969,1765,10.6426363,15.4604702,7.831368923
23,1969,1774,10.45417118,15.65605927,7.671043873
15,1969,1779,10.34646416,15.82891846,7.622159481
24,1969,1790,10.10133362,16.02538109,7.633479118
33,1969,1794,10.00927258,16.04954529,7.550986767
1,1969,1809,9.649485588,15.52076054,7.197629452
67,1969,1811,9.599746704,15.46000957,7.143604755
98,1969,1818,9.422350883,15.41563511,6.956496716
131,1969,1824,9.266222954,15.3173418,6.818226337
99,1969,1828,9.160064697,15.28800392,6.751234055
2,1969,1843,8.747596741,14.92593765,6.498820305
134,1969,1844,8.719316483,14.90512943,6.481878757
26,1969,1846,8.662473679,14.85772705,6.447938442
68,1969,1847,8.633910179,14.83110237,6.430937767
113,1969,1854,8.431406021,14.58801174,6.31003809
16,1969,1867,8.044119835,13.86280918,5.979980469
71,1969,1869,7.98334074,13.7194767,5.890373707
112,1969,1870,7.952839375,13.6446991,5.843988419
69,1969,1875,7.799233913,13.24073029,5.660422802
136,1969,1880,7.643910408,12.78917122,5.509776115
135,1969,1882,7.581329346,12.596241,5.449990749
65,1969,1887,7.423818111,12.08626366,5.283331394
32,1969,1892,7.264915943,11.57487583,5.155303001
70,1969,1893,7.232982635,11.49359226,5.126239777
17,1969,1897,7.104764462,11.16516781,4.930746078
66,1969,1909,6.716217995,10.17364693,4.588573933
120,1969,1913,6.585669518,9.836685181,4.513887405
126,1969,1916,6.487506866,9.572106361,4.300784111
97,1969,1917,6.454741001,9.488378525,4.226147652
117,1969,1920,6.356348515,9.238067627,4.169620514
130,1969,1925,6.192086697,8.824777603,4.003994465
25,1969,1934,5.896042347,8.048670769,3.813371181
118,1969,1939,5.731663227,7.675056458,3.540933132
119,1969,1941,5.665982246,7.551290512,3.443517685
64,1969,1948,5.436614037,7.139581203,3.250737429
121,1969,1950,5.37127161,7.059736729,3.200074673
78,1969,1953,5.273462772,6.786881447,3.139255047
111,1969,1956,5.175926685,6.517493248,3.059264898
143,1969,1968,4.789277554,5.930016994,2.798826933
63,1969,1972,4.661908627,5.795906544,2.710199833
31,1969,1979,4.441235065,5.487667561,2.567569971
140,1969,1979,4.441235065,5.487667561,2.567569971
44,1969,1980,4.409965038,5.451177597,2.540901184
141,1969,1982,4.347618103,5.378824711,2.488730431
62,1969,1989,4.131667614,5.117221355,2.281448364
129,1969,1993,4.009959698,4.95262289,2.145950794
96,1969,2003,3.711688757,4.566364288,1.910215974
18,1969,2003,3.711688757,4.566364288,1.910215974
27,1969,2008,3.566041946,4.383693695,1.76024425
61,1969,2010,3.508480072,4.312074184,1.703273058
95,1969,2028,3.009906054,3.682808638,1.266287923
72,1969,2030,2.956816673,3.618699074,1.245883942
110,1969,2033,2.878100157,3.523511648,1.197482228
8,1969,2034,2.85210824,3.492048025,1.180767059
50,1969,2034,2.85210824,3.492048025,1.180767059
11,1969,2036,2.800502539,3.429526091,1.147994637
39,1969,2038,2.749403,3.367558002,1.116046667
38,1969,2042,2.64874959,3.245320797,1.05438149
142,1969,2043,2.623912573,3.215123177,1.039388299
60,1969,2048,2.501711369,3.028573513,0.966633677
139,1969,2057,2.290279627,2.678427219,0.831529319
115,1969,2059,2.244813442,2.631896019,0.79970485
94,1969,2065,2.111786127,2.499547005,0.698155999
45,1969,2070,2.004831791,2.391992569,0.638859987
108,1969,2084,1.724455833,2.104584455,0.46649763
122,1969,2092,1.576931357,1.907890797,0.382697761
46,1969,2105,1.356733918,1.663312435,0.245311156
104,1969,2113,1.233030081,1.528940916,0.201254219
123,1969,2117,1.174474001,1.472979307,0.176327765
43,1969,2117,1.174474001,1.472979307,0.176327765
107,1969,2135,0.937138081,1.200923324,0.084384173
114,1969,2136,0.925164878,1.186689019,0.080773741
79,1969,2137,0.913314641,1.172564149,0.077304542
73,1969,2141,0.867131412,1.117152333,0.064744957
109,1969,2141,0.867131412,1.117152333,0.064744957
59,1969,2145,0.822863281,1.06349647,0.054082587
93,1969,2145,0.822863281,1.06349647,0.054082587
58,1969,2149,0.780461848,1.01129508,0.04506015
103,1969,2149,0.780461848,1.01129508,0.04506015
47,1969,2155,0.720254898,0.930185199,0.034712143
92,1969,2160,0.673086703,0.866803169,0.029185861
106,1969,2170,0.586525202,0.750924706,0.020390119
77,1969,2174,0.554659426,0.708431244,0.017020119
9,1969,2178,0.524291933,0.668690503,0.013765774
127,1969,2179,0.516928196,0.660237014,0.01305034
146,1969,2180,0.509653986,0.651867926,0.012370536
51,1969,2181,0.502468407,0.643581867,0.011724654
41,1969,2183,0.488360733,0.627258897,0.010528326
85,1969,2200,0.381750405,0.500255287,0.004318513
138,1969,2200,0.381750405,0.500255287,0.004318513
80,1969,2201,0.376173466,0.492824882,0.004106047
57,1969,2202,0.370669007,0.485484689,0.003903042
105,1969,2205,0.354581743,0.463997513,0.003347157
102,1969,2208,0.339118332,0.44362393,0.002863789
52,1969,2218,0.291827917,0.387238294,0.001673961
84,1969,2220,0.283112854,0.376689225,0.001498712
56,1969,2225,0.26234141,0.351338536,0.001131362
10,1969,2227,0.254425436,0.341598749,0.001009095
40,1969,2227,0.254425436,0.341598749,0.001009095
28,1969,2230,0.242956027,0.327407509,0.000848288
101,1969,2232,0.235572025,0.318220824,0.00075456
128,1969,2233,0.231956825,0.313708544,0.000711363
42,1969,2242,0.201617748,0.275450796,0.000413386
100,1969,2247,0.186370537,0.25595212,0.000302876
49,1969,2248,0.18345049,0.252196372,0.000284377
76,1969,2254,0.166791812,0.230634972,0.00019374
83,1969,2255,0.164154112,0.227167845,0.000181565
86,1969,2270,0.12891911,0.17996645,6.64E-05
75,1969,2272,0.124788009,0.174370915,5.78E-05
55,1969,2274,0.120779328,0.168928713,5.03E-05
53,1969,2274,0.120779328,0.168928713,5.03E-05
29,1969,2277,0.11498861,0.161044896,4.07E-05
91,1969,2285,0.100777209,0.141583264,2.29E-05
87,1969,2288,0.095880635,0.134840012,1.84E-05
48,1969,2290,0.092739671,0.130504116,1.59E-05
74,1969,2291,0.09120518,0.128668725,1.47E-05
30,1969,2308,0.068466231,0.09822838,3.99E-06
82,1969,2310,0.066169031,0.095020048,3.41E-06
90,1969,2331,0.046009921,0.066622317,6.03E-07
124,1969,2340,0.039263457,0.057021171,2.83E-07
81,1969,2341,0.038573664,0.056036744,2.60E-07
54,1969,2348,0.0340521,0.04957154,1.43E-07
125,1969,2376,0.020457666,0.030007692,1.19E-08
88,1969,2415,0.009758691,0.014489134,3.59E-10
89,1969,2458,0.004125645,0.00626955,7.67E-12
5,2015,1302,30.89940071,46.38335419,12.49962521
4,2015,1307,30.87792015,46.18910217,12.43589973
144,2015,1326,30.80319405,45.34235001,12.1086359
