Plot,Elevation,Year,Taxon,Shade Tolerance,Fire Tolerance,Biogeographical Association,Layer,Class,OG_Cover,Med_Cover,Mono_Cover
A88,1783,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A01,1798,1969,Acer glabrum,I,NA,N,shrub,2,NA,0.5,3
A35,1829,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A89,1829,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
B43,1859,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A90,1890,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B42,1890,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A91,1905,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B24,1981,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B86,2012,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
B85,2042,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
A88,1790,2024,Acer glabrum,I,NA,N,shrub,2,1,0.5,3
A35,1797,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A89,1809,2024,Acer glabrum,I,NA,N,shrub,3,5,5.5,7
A90,1876,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A91,1882,2024,Acer glabrum,I,NA,N,shrub,4,10,17.5,17.5
B43,1885,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
B02,1917,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A47,1950,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
B54,1953,2024,Acer glabrum,I,NA,N,shrub,1,0.2,0.2,1
B86,1981,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A41,2270,2024,Acer glabrum,I,NA,N,shrub,2,1,0.5,3
A05,1356,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
A88,1783,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
A02,1829,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A89,1829,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A92,1844,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A90,1890,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
B25,1890,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A91,1905,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A36,1920,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
B57,1951,1969,Achillea millefolium,I,H,N,herb,4,NA,17.5,17.5
B58,1951,1969,Achillea millefolium,I,H,N,herb,4,NA,17.5,17.5
B59,1981,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A93,1996,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
B83,1996,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
B65,2134,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A71,2188,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
B66,2195,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A98,2210,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A19,2225,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
B10,2225,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A97,2256,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A69,2268,1969,Achillea millefolium,I,H,N,herb,2,NA,0.5,3
A74,2353,1969,Achillea millefolium,I,H,N,herb,1,NA,0.2,1
B05,2377,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
B61,2408,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
A01,1760,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A92,1830,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A02,1838,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A90,1876,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B57,1907,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A36,1926,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A85,1940,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B84,1963,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B83,1966,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A81,2004,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B85,2032,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B58,2075,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B59,2107,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B19,2140,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A71,2142,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B65,2142,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B66,2181,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B10,2225,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B04,2243,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A19,2263,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A41,2270,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B60,2283,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A97,2294,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
B61,2380,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A14,1585,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
B71,1692,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
B70,1814,1969,Alnus incana,I,NA,N,shrub,4,NA,17.5,17.5
B26,1829,1969,Alnus incana,I,NA,N,shrub,5,NA,37.5,37.5
B42,1890,1969,Alnus incana,I,NA,N,shrub,4,NA,17.5,17.5
A87,1908,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
B53,1920,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
B63,1920,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
B54,1920,1969,Alnus incana,I,NA,N,shrub,4,NA,17.5,17.5
A36,1920,1969,Alnus incana,I,NA,N,shrub,6,NA,62.5,62.5
A85,1951,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
A84,1990,1969,Alnus incana,I,NA,N,shrub,6,NA,62.5,62.5
A70,2018,1969,Alnus incana,I,NA,N,shrub,4,NA,17.5,17.5
B82,2073,1969,Alnus incana,I,NA,N,shrub,2,NA,0.5,3
B32,2149,1969,Alnus incana,I,NA,N,shrub,3,NA,5.5,7
A05,1383,2024,Alnus incana,I,NA,N,shrub,3,3,5.5,7
A23,1553,2024,Alnus incana,I,NA,N,shrub,1,0.2,0.2,1
A14,1668,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
A88,1790,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
A35,1797,2024,Alnus incana,I,NA,N,shrub,3,2,5.5,7
A89,1809,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
B42,1865,2024,Alnus incana,I,NA,N,shrub,3,5,5.5,7
A90,1876,2024,Alnus incana,I,NA,N,shrub,2,1,0.5,3
A87,1892,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
B63,1909,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
A36,1926,2024,Alnus incana,I,NA,N,shrub,3,2,5.5,7
A85,1940,2024,Alnus incana,I,NA,N,shrub,2,3,0.5,3
B84,1963,2024,Alnus incana,I,NA,N,shrub,4,17,17.5,17.5
B83,1966,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
A84,1973,2024,Alnus incana,I,NA,N,shrub,4,15,17.5,17.5
B86,1981,2024,Alnus incana,I,NA,N,shrub,1,0.2,0.2,1
B68,1987,2024,Alnus incana,I,NA,N,shrub,5,25,37.5,37.5
B49,2026,2024,Alnus incana,I,NA,N,shrub,3,2,5.5,7
A70,2027,2024,Alnus incana,I,NA,N,shrub,2,0.2,0.5,3
A55,2038,2024,Alnus incana,I,NA,N,shrub,3,2,5.5,7
B48,2072,2024,Alnus incana,I,NA,N,shrub,1,0.2,0.2,1
A10,1311,1969,Alnus viridis,I,NA,N,shrub,2,NA,0.5,3
A14,1585,1969,Alnus viridis,I,NA,N,shrub,3,NA,5.5,7
B71,1692,1969,Alnus viridis,I,NA,N,shrub,4,NA,17.5,17.5
A88,1783,1969,Alnus viridis,I,NA,N,shrub,2,NA,0.5,3
B70,1814,1969,Alnus viridis,I,NA,N,shrub,4,NA,17.5,17.5
A35,1829,1969,Alnus viridis,I,NA,N,shrub,3,NA,5.5,7
B42,1890,1969,Alnus viridis,I,NA,N,shrub,4,NA,17.5,17.5
B69,1920,1969,Alnus viridis,I,NA,N,shrub,2,NA,0.5,3
B02,1951,1969,Alnus viridis,I,NA,N,shrub,3,NA,5.5,7
B83,1996,1969,Alnus viridis,I,NA,N,shrub,4,NA,17.5,17.5
B40,2012,1969,Alnus viridis,I,NA,N,shrub,5,NA,37.5,37.5
B68,2042,1969,Alnus viridis,I,NA,N,shrub,4,NA,17.5,17.5
A55,2042,1969,Alnus viridis,I,NA,N,shrub,5,NA,37.5,37.5
B70,1826,2024,Alnus viridis,I,NA,N,shrub,4,12,17.5,17.5
B42,1865,2024,Alnus viridis,I,NA,N,shrub,5,25,37.5,37.5
B53,1960,2024,Alnus viridis,I,NA,N,shrub,3,3,5.5,7
A13,1524,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
B71,1692,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
A35,1829,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
A92,1844,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
A91,1905,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
B69,1920,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
B57,1951,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
A63,1966,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
B59,1981,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
B84,1996,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
A62,2146,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
A97,2256,1969,Amelanchier alnifolia,I,H,N,shrub,3,NA,5.5,7
B04,2316,1969,Amelanchier alnifolia,I,H,N,shrub,2,NA,0.5,3
A13,1550,2024,Amelanchier alnifolia,I,H,N,shrub,2,1,0.5,3
A23,1553,2024,Amelanchier alnifolia,I,H,N,shrub,2,1,0.5,3
A88,1790,2024,Amelanchier alnifolia,I,H,N,shrub,2,1,0.5,3
A92,1830,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A02,1838,2024,Amelanchier alnifolia,I,H,N,shrub,1,0.2,0.2,1
A90,1876,2024,Amelanchier alnifolia,I,H,N,shrub,2,1,0.5,3
A91,1882,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
B43,1885,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A36,1926,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
B24,1953,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
B83,1966,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A63,1971,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A82,1992,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A70,2027,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
B85,2032,2024,Amelanchier alnifolia,I,H,N,shrub,2,0.2,0.5,3
A93,2043,2024,Amelanchier alnifolia,I,H,N,shrub,1,0.2,0.2,1
B36,2153,2024,Amelanchier alnifolia,I,H,N,shrub,3,4,5.5,7
A02,1829,1969,Antennaria rosea,I,NA,N,herb,1,NA,0.2,1
A89,1829,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
A92,1844,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
A90,1890,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
B25,1890,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
A91,1905,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
B69,1920,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
A63,1966,1969,Antennaria rosea,I,NA,N,herb,1,NA,0.2,1
A65,2115,1969,Antennaria rosea,I,NA,N,herb,2,NA,0.5,3
A71,2188,1969,Antennaria rosea,I,NA,N,herb,2,NA,0.5,3
B66,2195,1969,Antennaria rosea,I,NA,N,herb,4,NA,17.5,17.5
B10,2225,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
