Plot,Elevation,Year,Taxon,Shade Tolerance,Fire Tolerance,Biogeographical Association,Layer,Class,OG_Cover,Med_Cover,Mono_Cover
A01,1760,1969,Acer glabrum,I,NA,N,shrub,2,NA,0.5,3
A35,1797,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A35,1797,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A41,2270,2024,Acer glabrum,I,NA,N,shrub,2,1,0.5,3
A47,1950,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A88,1790,2024,Acer glabrum,I,NA,N,shrub,2,1,0.5,3
A88,1790,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A89,1809,2024,Acer glabrum,I,NA,N,shrub,3,5,5.5,7
A89,1809,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
A90,1876,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
A90,1876,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
A91,1882,2024,Acer glabrum,I,NA,N,shrub,4,10,17.5,17.5
A91,1882,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B02,1917,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
B24,1953,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B42,1865,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B43,1885,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
B43,1885,1969,Acer glabrum,I,NA,N,shrub,3,NA,5.5,7
B54,1953,2024,Acer glabrum,I,NA,N,shrub,1,0.2,0.2,1
B85,2032,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
B86,1981,2024,Acer glabrum,I,NA,N,shrub,2,0.2,0.5,3
B86,1981,1969,Acer glabrum,I,NA,N,shrub,4,NA,17.5,17.5
A01,1760,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A02,1838,2024,Achillea millefolium,I,H,N,herb,2,0.2,0.5,3
A02,1838,1969,Achillea millefolium,I,H,N,herb,3,NA,5.5,7
