Plot,Year,PLOTYEAR,Easting,Northing,ELEV,HLI,TPI_25
A01,1969,A011969,505104,4571803,1811,0.912177,-50.76
A02,1969,A021969,505075,4571935,1870,0.932672,-43.104
A05,1969,A051969,505586,4577215,1382,0.619671,-65.2528
A08,1969,A081969,506631,4576280,1302,0.726958,-12.4144
A09,1969,A091969,506435,4576047,1326,0.612283,-45.6928
A10,1969,A101969,506522,4576124,1307,0.561715,-38.6704
A13,1969,A131969,507711,4573080,1566,0.583626,-20.488
A14,1969,A141969,507396,4573035,1681,0.699042,-3.2928
A15,1969,A151969,507249,4573036,1764,0.701988,19.9408
A17,1969,A171969,506637,4573028,2028,0.873105,10.8128
A18,1969,A181969,506500,4573350,2200,0.474502,92.2624
A19,1969,A191969,506297,4573132,2270,0.553049,139.608
A21,1969,A211969,506369,4572784,2043,0.918823,4.1344
A23,1969,A231969,507782,4572806,1547,0.570211,-28.2624
A24,1969,A241969,507837,4572610,1620,0.60393,24.6144
A25,1969,A251969,507729,4572444,1674,0.547511,33.8608
A26,1969,A261969,507325,4572031,1774,0.530222,3.7344
A27,1969,A271969,507269,4571855,1854,0.507213,9.2928
A28,1969,A281969,507256,4571827,1869,0.541376,10.5536
A29,1969,A291969,507351,4571699,2003,0.409508,63.6128
A30,1969,A301969,507750,4572378,1689,0.631919652,35.3088
A31,1969,A311969,505342,4577375,1502,0.442156,25.2368
A32,1969,A321969,505225,4577355,1529,0.540167,32.4704
A33,1969,A331969,504912,4577162,1620,0.333832,17.0896
A34,1969,A341969,504474,4577026,1765,0.441717,26.5216
A35,1969,A351969,504107,4577037,1794,0.643089,-48.2528
A36,1969,A361969,503753,4577062,1897,0.661596,-36.6816
A37,1969,A371969,503846,4577073,1875,0.721686,-39.9632
A38,1969,A381969,503136,4577051,2065,0.908934,9.44
A39,1969,A391969,502577,4577532,2225,0.599211,19.2448
A40,1969,A401969,502449,4577978,2274,0.426147,100.459
A41,1969,A411969,501996,4576897,2285,0.912044,67.1744
A42,1969,A421969,502104,4576354,2389,0.311366,116.309
A43,1969,A431969,502086,4576316,2403,0.534741,128.418
A44,1969,A441969,502420,4576146,2351,0.919057,96.2448
A45,1969,A451969,502727,4575875,2228,0.363743,54.0096
A47,1969,A471969,503254,4575493,1953,0.538517,-24.0928
A49,1969,A491969,503609,4575600,1882,0.60953,-11.2688
A50,1969,A501969,503917,4575610,1809,0.877213,-25.4976
A51,1969,A511969,504935,4575976,1650,0.745787,-51.1472
A52,1969,A521969,505281,4576150,1589,0.822479,-51.4528
A53,1969,A531969,505345,4576357,1653,0.8771,30.9296
A54,1969,A541969,505747,4576650,1536,0.809165,9.4624
A55,1969,A551969,503808,4572829,2038,0.645034,-58.128
A57,1969,A571969,503913,4572772,2048,0.553687,-43.8016
A59,1969,A591969,504174,4572508,2218,0.534302,90.08
A60,1969,A601969,504382,4572451,2227,0.241526,83.7504
A61,1969,A611969,504306,4572422,2254,0.773487,124.104
A62,1969,A621969,504569,4572502,2145,0.369891,57.088
A63,1969,A631969,504865,4572711,1972,0.729905,-66.1168
A64,1969,A641969,503818,4572640,2059,0.71011,-52.6528
A65,1969,A651969,503826,4572507,2092,0.596387,-39.24
A66,1969,A661969,503532,4572438,2155,0.345449,-39.9584
A67,1969,A671969,503260,4572237,2308,0.480316,69.2256
A68,1969,A681969,503192,4572374,2306,0.679236,70.8656
A69,1969,A691969,503368,4572628,2181,0.626546,-35.5872
A70,1969,A701969,504151,4572996,2034,0.712044,-28.9968
A71,1969,A711969,503573,4573089,2183,0.807256,12.4672
A72,1969,A721969,503617,4573261,2232,0.947432,49.616
A73,1969,A731969,503843,4573397,2277,0.952416,80.216
A74,1969,A741969,503910,4573546,2348,0.921452,133.944
A75,1969,A751969,504239,4573819,2274,0.67458,102.525
A76,1969,A761969,503991,4573880,2220,0.682157,17.552
A78,1969,A781969,504366,4573829,2201,0.685401,54.3504
A79,1969,A791969,504395,4573653,2137,0.725548,18.5248
A80,1969,A801969,504170,4573376,2141,0.858241,1.888
A81,1969,A811969,504075,4573023,2042,0.774639,-33.8208
A82,1969,A821969,504479,4573021,1993,0.623163,-26.0592
