Plot,Elevation,ElevationRel,TRMI,Tree #,Species,Status,Status4,Fill,Fill2,DBH,BA,PlotBA,BAABMA,BAPINALB,BAPINCON,BAABLAS,BAotherABMA,BAotherPINALB,BAotherPINCON,BAotheABLAS,QMDABMA,QMDPINALB,QMDPINCON,QMDABLAS,PercentABMA,CRN Class,SNAG,DMR,DMR2,Mtoe,BB,BBMtoe,Change5yrAprilpck,Change5yrMaypck,Change5yrMarpck,Change5yrSpringsnowpack,Change5yrtempmin,Change5yrppt,Change5yrGstempmax,Change5yrtotalCWD,Change5yrGSCWD,Change5yrGSavgCWD,Change10yrAprilpck,Change10yrMaypck,Change10yrMarpck,Change10yrSpringsnowpack,Change10yrtempmin,Change10yrppt,Change10yrGstempmax,Change10yrtotalCWD,Change10yrGSCWD,Change10yrGSavgCWD,5yrAprilpck,5yrMaypck,5yrMarpck,5yrSpringsnowpack,raw5yrtempmin,raw5yrppt,raw5yrGstempmax,raw5yrtotalCWD,raw5yrGSCWD,raw5yrGSavgCWD
A01,1760,460,35.5,13,ABCO,D,1,D,D1,86,0.58088184,4.818491834,0.248284575,0,0.075846078,0,4.570207259,4.818491834,4.742645756,4.818491834,0,0,0,0,0.051527445,,3,,0,0,1,2,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A01,1760,460,35.5,9,ABMA,D,1,D,D1,9,0.00636174,4.818491834,0.248284575,0,0.075846078,0,4.570207259,4.818491834,4.742645756,4.818491834,0,0,0,0,0.051527445,,1,,0,0,0,0,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A01,1760,460,35.5,17,ABMA,D,1,D,D1,55.5,0.241922835,4.818491834,0.248284575,0,0.075846078,0,4.570207259,4.818491834,4.742645756,4.818491834,0,0,0,0,0.051527445,,3,,0,0,1,2,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A01,1760,460,35.5,2,PINCON,D,1,D,D1,26.7,0.055990381,4.818491834,0.248284575,0,0.075846078,0,4.570207259,4.818491834,4.742645756,4.818491834,0,0,0,0,0.051527445,,3,,0,0,1,2,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A05,1383,83,45,3,PSME,D,1,D,D1,8.3,0.005410621,1.080415879,0,0,0,0,1.080415879,1.080415879,1.080415879,1.080415879,0,0,0,0,0,,3,,0,0,0,0,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A05,1383,83,45,12,PSME,D,1,D,D1,8.5,0.005674515,1.080415879,0,0,0,0,1.080415879,1.080415879,1.080415879,1.080415879,0,0,0,0,0,,2,,0,0,0,0,-188.4751613,90.98245161,-215.1011613,-312.593871,2.468306452,62.80919355,1.47358871,-6.357741935,-37.65314516,-8.89653226,-86.91099462,126.6422849,-141.0634946,-101.3322043,2.102170088,-27.07398827,0.606202346,-14.88774194,-23.72519062,-4.253880742,344.35,134.636,475.694,954.68,-4.5375,1239.155,21.30625,372.32,194.4875,64.82916667
A08,1304,4,34,59,ABCO,D,1,D,D1,9.3,0.006792925,2.442206016,0,0,0,0,2.442206016,2.442206016,2.442206016,2.442206016,0,0,0,0,0,,3,,0,0,0,0,10.88,0,34.04096774,44.92096774,1.653306452,78.20419355,0.077197581,-52.55483871,-32.7491129,-6.543924734,15.58083333,0,21.42846774,37.00930108,1.937624633,-1.226715543,0.084186217,-24.65392962,-18.49615836,-1.792939882,10.88,0,110.08,120.96,-2.9825,844.58,24.979375,521.79,248.7225,82.9075
A08,1304,4,34,45,ABCO,D,1,D,D1,11.2,0.009852058,2.442206016,0,0,0,0,2.442206016,2.442206016,2.442206016,2.442206016,0,0,0,0,0,,2,,0,0,0,0,10.88,0,34.04096774,44.92096774,1.653306452,78.20419355,0.077197581,-52.55483871,-32.7491129,-6.543924734,15.58083333,0,21.42846774,37.00930108,1.937624633,-1.226715543,0.084186217,-24.65392962,-18.49615836,-1.792939882,10.88,0,110.08,120.96,-2.9825,844.58,24.979375,521.79,248.7225,82.9075
A08,1304,4,34,18,ABCO,D,1,D,D1,19,0.02835294,2.442206016,0,0,0,0,2.442206016,2.442206016,2.442206016,2.442206016,0,0,0,0,0,,2,,0,0,0,0,10.88,0,34.04096774,44.92096774,1.653306452,78.20419355,0.077197581,-52.55483871,-32.7491129,-6.543924734,15.58083333,0,21.42846774,37.00930108,1.937624633,-1.226715543,0.084186217,-24.65392962,-18.49615836,-1.792939882,10.88,0,110.08,120.96,-2.9825,844.58,24.979375,521.79,248.7225,82.9075
A08,1304,4,34,62,ABCO,D,1,D,D1,20.6,0.033329234,2.442206016,0,0,0,0,2.442206016,2.442206016,2.442206016,2.442206016,0,0,0,0,0,,3,,0,0,1,2,10.88,0,34.04096774,44.92096774,1.653306452,78.20419355,0.077197581,-52.55483871,-32.7491129,-6.543924734,15.58083333,0,21.42846774,37.00930108,1.937624633,-1.226715543,0.084186217,-24.65392962,-18.49615836,-1.792939882,10.88,0,110.08,120.96,-2.9825,844.58,24.979375,521.79,248.7225,82.9075
